id,label,review,predicted_label
 25 nghìn / phần dở hơn cả trên thành phố.,nega,,posi
" 25 nghìn /bát, có các vị phô mai, trà xanh để chọn. ",neu,,posi
" 28 nghìn 1 dĩa 8 cái bánh căn 2 tôm, 2 mực, 4 thịt bămnước chấm có 4 loại mắm ngọt, mắm nêm, đậu phộng, sốt chua ngọt",neu,,posi
 3 chúng mình kêu đồ uống và bị hấp dẫn nó rất ngon. Cream trên ly coổnie và matcha là được làm bằng sữa tươi đánh bông. Mùi thơm,posi,,posi
" 3 điều quan trọng nhất với mình khi tìm đến một quán cafe ở Sg là không gian tạo được sự ấm áp và bình yên, đồ uống mới lạngon miệng, cuối cùng là thái độ phục vụ tận tình, chu đáo. Mình thực sự đã tìm thấy điều này ở Ville",posi,,posi
 3 đứa 150 nghìn ,neu,,posi
 3 đứa ăn hết 100 nghìn. Khá ổn ,neu,,posi
" 3 đứa đi ăn gọi 1 Kupbap Cà ri bò kho, 1 cá ngừ và một mì trứng khoảng 35 nghìn /đứa ",neu,,posi
 3 đứa kêu món ăn và thức uống như trong hình chỉ hết 116 nghìn,neu,,posi
 3 đứa vào ăn gọi 4 món nướng và một lẩu trung. Bill ra 365 nghìn. Thật sự chất lượng không hề ngon.,nega,,posi
" 3 đứa vào ăn gọi 4 món nướng và một lẩu trung. Gia vị ướp rất nhạt, nhìn mấy cái đĩa thức ăn lèo tèo vài cái mà 3 đứa nhìn nhau",nega,,posi
 3 lần qua đóng cửa không biết quán có còn muốn kinh doanh hay không,neu,,posi
 3 lần trước mình đi ăn bánh rất ngon ,posi,,posi
 3 loại và mỗi loại được bày một tí xíu trong đĩa thất vọng tràn trề,nega,,posi
" 3 món đặc trưng cafe, matcha và cacao trứng. Khá ổn",neu,,posi
 3 người ăn có 285 nghìn,neu,,posi
" 3 người thì bảo chị chủ quán làm 100 nghìn thôi. Đói bụng, thì có thể ăn no được. ",neu,,posi
" 3 suất cơm với 3 giá 60 nghìn , 65 nghìn và 70 nghìn ! ",neu,,posi
 30 nghìn / 1 bát theo mình là hơi ít cái,nega,,posi
" 30 nghìn / bát bún thịt nướng hơi đắt, bún ít, thịt hơi nguội, nước dưới gừng khá lạ. ",nega,,posi
 30 nghìn hợp lý với tô bún mọc quá ngon ! ,posi,,posi
" 30 nghìn ở Cần thơ đảm bảo chất lượng, bao ngon, bao no.",posi,,posi
" 35 nghìn / tô, nhìn thấy tưởng ngon nhưng chất lượng thế này thì không đáng. ",nega,,posi
" 35 nghìn /phần thì không mắc nhưng đây là lần đầu tiên ăn món bánh cuốn dở tệ như vậy, chả mực thì nhạt thếch không có mùi vị gì",nega,,posi
 35 nghìn 1 bát vừa nộm,neu,,posi
 35 nghìn một cốc mình thấy không xứng đáng,nega,,posi
" 4 cái kem hết 80 nghìn nhưng thấy ăn đúng kiểu cho vui mồm chứ chả ngon gì cả, không bằng kem merino hay kem bạc hà luôn",nega,,posi
" 4 đứa ăn lúc đầu kêu 3 phần xiên que, 1 gà tổn mà ăn ngon quá nên phải kêu thêm ăn nữa ",posi,,posi
" 4 đứa gọi đá xay hạt dẻ, đá xay matcha, trà thái đỏ và trà thái xanh. Phải nói là không 1 cốc nào ngon hết.",nega,,posi
" 4 món cơm xèo xèo ở Co Co 5, không chê được vị nào, vị nào cũng thơm ơi thơm, ngon ơi là ngon.",posi,,posi
 4 món toàn thịt là thịt như trong ảnh.,neu,,posi
" 4 món xôi ngon: Vịt quay, vịt khìa nước dừa, phá lấu, heo quay. ",posi,,posi
 4 nghìn em vani ăn ngon. ,posi,,posi
" 4 người ăn, mỗi người 1 phần, tổng bill 1.100.000. ",neu,,posi
" 4 người hết 500 nghìn , còn được phiếu giảm giá 10% nữa",neu,,posi
" 4 người hết 500 nghìn , còn được phiếu giảm giá 10% nữa, tính ra rẻ mà chất lượng. ",nega,,posi
 4 người nhà mình lần nào đi ăn cũng gọi nửa con gà nướng ăn kèm với sốt nấm và sốt rượu vang và khoai tây múi nướng ! Đây làmosn mus:(ry đó vì cực kì ngon luôn ! ! ! Gà mềm và ướp vừa miệng ăn chung với sốt rất đúng điệu.,posi,,posi
 4 ổ bánh mì giá 24 nghìn. Và đặc biệt 25 chai Tiger bạc giá 425 nghìn.,neu,,posi
 480 nghìn chưa tính nước cho 2 người ăn là quá cao. ,nega,,posi
" 5 nghìn / cái mà ngon cực, rán vừa, không bị khô. trên bàn có sẵn chai tương ớt, sốt cà chua rồi, cứ thế mà chén. ",posi,,posi
" 5 nghìn /xiên nướng, mỗi xiên là 3 miếng đồ ăn và 3 miếng đập bắp, tụi mình kêu cỡ 30 xiên 5 người và thêm 2 phần thịt, ăn không ngon lắm ",nega,,posi
" 5 nghìn một con, khách đông nên đợi bánh hơi lâu chút ",neu,,posi
" 50 nghìn ăn no lè lưỡi, đồ ăn ngon, thức uống cũng vậy, thêm không gian thoáng mát với yên tĩnh nữa ! ! ! ",posi,,posi
" 50 nghìn cho bát phở lõi dở ẹc, dở nhất mà mình từng ăn. ",nega,,posi
 50 nghìn là quá mắc ! ,nega,,posi
 5000 một xiên ăn khá ổn. nhưng Thịt nêm hơi nhạt,nega,,posi
" 55 nghìn , bánh tầm ~ 45 nghìn thì mọi thứ với mình đều rất tuyệt.",posi,,posi
" 550 nghìn cho buổi tối 2 người cũng không phải rẻ, nhưng chất lượng và phục vụ khiến mình hài lòng.",posi,,posi
" 5p sau mang burger cá lên: chắc do cá không làm sẵn nên chiên lại, nóng nên cũng ngon. ",posi,,posi
" 6 đứa ăn tạm chưa no, không uống bia gì hết gần 800 nghìn. Giá hơi mắc. ",nega,,posi
" 65 nghìn / suất cơm như vậy là đắt, không đáng tiền.",nega,,posi
 65 nghìn một đĩa beefsteak nhỏ không đáng.,nega,,posi
 68 nghìn / đĩa gỏi gà loại nhỏ. Gỏi gà hơi cay và vị trộn không được đậm đà ,nega,,posi
" 7 tô mì là 7 cung bậc cảm xúc khác nhau, nhưng theo khẩu vị bản thân, mì hải sản chua cay ngon nhất",posi,,posi
 7 tô với 7 khẩu vị khác nhau. Rất đáng đồng tiền. Nước uống ngon mà rẻ hơn nhiều quán khác. Khăn ướt siêu lạ vô cùng đáng chú ý.,posi,,posi
 8 cái thập cẩm 50 nghìn,neu,,posi
 95 nghìn không hề xứng đáng,nega,,posi
" A chị chủ ở đây khá dễ thương và chiều ý khách. Bọn mình gọi món 2 đứa 2 loại kem và bánh khác nhau, nên lúc để có bị nhầm. Bọn mình có nhờ đổi và quán rất vui vẻ. Không gian ấm cúng dễ thương. Rất yên tĩnh. Mùi kem thơm ngọt ngào. ",posi,,posi
" A chủ dễ thương, đứng xem pha chế cũng vui. Giá cả theo mình thì rẻ :)",posi,,posi
" A phục vụ thì cực kì nhiệt tình luôn, nói chung sẽ đến ủng hộ nữa ",posi,,posi
" À... lần đầu thử nghiệm món tắt xay, vị khá là ngon, món này lạ lạ mình rất thích ấy, lần sau gọi nữa mới được.",posi,,posi
" Ai bảo cơm tấm đây ngon, chứ mình vào ăn thử thì quá dở, ăn 1 lần là muốn chạy luôn không ghé ",nega,,posi
" Ai cần một địa điểm ăn ngon mà giá bình dân thì rất nên đến đây, quán dễ chịu, thức ăn chất lượng mà giá lại mềm. ",posi,,posi
 Ai có muốn ghé qua thì ăn thử,neu,,posi
" Ai có ý định đi ăn chỗ này thì bỏ đi nha. Giờ nơi đây không còn ngon như trước nữa, siêu tệ, siêu dở. ",nega,,posi
 Ai có ý định đi ăn ở cái quán này thì hãy tránh xa nó ra 1000 ngàn km và đi tìm chỗ khác ăn. Vừa dở vừa mắc,nega,,posi
" Ai dè nó mắc kinh khủng, 190 nghìn một ly cũng bự chảng nhưng mà ăn không được. Toàn đá với bánh quy không, kem với bánh thì không nhiều. ",nega,,posi
" Ai khen ngon, ai thích..... chứ riêng mình là dở ơi là dở, tệ ơi là tệ, không biết nói làm sao cho đỡ tội chứ dở nữa chất lượng nói thật đừng buồn chứ thua mấy cô bán hàng rong ngoài đường",nega,,posi
 Ai là tín đồ của Doraemon thì tới đây được nè,neu,,posi
" Ai lên Đà Lạt phải ghé qua ăn thử liền, đảm bảo ngon mà rẻ nữa. Ngoài ra còn có bánh mì, bánh ướt cũng khá ngon, có cả chay lẫn mặn ",posi,,posi
 ai muốn ăn bánh canh đúng vị Huế thì đến đây nhé !,neu,,posi
 ai muốn ăn bánh canh đúng vị Huế thì đến đây nhé ! Ngon bổ rẻ và hơi bị sạch sẽ í. Mình cực kì mê luôn: 3 ,posi,,posi
" Ai muốn ăn cơm gà ngon va rẻ thì đến quán cơm gà Ty, kèm thêm món cao lầu rất đậm đà.",posi,,posi
 Ai muốn ăn sushi vừa ngon vừa rẻ vừa chất lượng thì đến đây là lựa chọn số 1 nhé: giá từ 5 nghìn đến 10 nghìn /cục sushi hoặc khỏang 100 nghìn /hộp sushi. ,posi,,posi
 Ai nói ngon chứ mình thấy dở lại mắc nữa chứ trà thanh nhưng ngọt vô cùng kem mắc,nega,,posi
" Ai nói quán này mắc, mình thấy rẻ mà ",posi,,posi
" Ai nói sao chứ tui bị thích quán này thật sự, cảm giác như đang ăn ở Nhật vậy, món nào khi đưa lên cũng đẹp mắt gọn gàng, xung quanh bàn mình thì khách Nhật nhiều. ",posi,,posi
 ai thèm bò hay hàu vô đây là quá hợp lý: p ,posi,,posi
 Ai tới đà lạt muốn ăn đồ nướng thì nhớ tới quán này nè. Ngon rẻ mà phục vụ chu đáo lắm.,posi,,posi
 Ai yêu đồ ngọt nên đến đây < 3 ,posi,,posi
" Ai yêu món hàn, nhạc hàn thì đây là 1 địa chỉ mình đề xuất cho các bạn.",posi,,posi
" Ak quên nữa là quán còn có cả sashimi, mình ăn thử cá hồi thì thấy cũng tươi, ngon tuyệt vời",posi,,posi
